service_type,task,caller_module,call_count,first_call,last_call
generation,generate_playwright_script,playwright_runner,25,2026-03-22 16:41:01.939934+00,2026-04-06 15:02:21.444973+00
generation,generate_test_cases,playwright_runner,23,2026-03-22 15:46:31.335835+00,2026-04-03 12:15:08.091153+00
generation,generate_test_cases_with_inventory,playwright_runner,10,2026-03-23 16:32:32.946268+00,2026-04-05 13:47:10.735302+00
nlp,intent_extraction,CRM_Module,1,2026-03-22 13:57:23.339029+00,2026-03-22 13:57:23.339029+00
